0;Diplomatisches Corps
A;Augsburg;Bayern
AA;Aalen Ostalbkreis;BaWü
AB;Aschaffenburg;Bayern
ABG;Altenburger Land;Thür
AC;Aachen;NrWe
AD;Privatfahrzeuge der amerikanischen Streitkräfte
AE;Auerbach;Sachs;a
AF;Privatfahrzeuge der amerikanischen Streitkräfte
AIC;Aichach-Friedberg;Bayern
AK;Altenkirchen/Westerwald;RhPf
AM;Amberg;Bayern
AN;Ansbach;Bayern
ANA;Annaberg;Sachs
ANG;Angermünde;Brandenburg;a
ANK;Anklam;MeVo;a
AÖ;Altötting;Bayern
AP;Apolda;Weimarer Land;Thür
APD;Apolda;Thür;a
ARN;Arnstadt;Thür;a
ART;Artern;Thür;a
AS;Amberg-Sulzbach;Bayern
ASL;Aschersleben;SaAn
ASZ;Aue-Schwarzenberg;Sachs
AT;Altentreptow;MeVo;a
AU;Aue;Sachs;a
AUR;Aurich;NiSa
AW;Bad Neuenahr-Ahrweiler;RhPf
AZ;Alzey-Worms;RhPf
AZE;Anhalt-Zerbst;SaAn
B;Berlin;Bln
BA;Bamberg;Bayern
BAD;Baden-Baden;BaWü
BAR;Barnim;Brandenburg
BB;Böblingen;BaWü
BBG;Bernburg;SaAn
BBL;Brandenburgdenburg Landeregierung und Landtag
BC;Biberach/Riß;BaWü
BD;Bundestag, Bundesrat, Bundesregierung
BED;Brandenburgd-Erbisdorf;Sachs;a
BEL;Belzig;Brandenburg;a
BER;Bernau bei Berlin;Brandenburg;a
BG;Bundesgrenzschutz
BGL;Berchtesgadener Land;Bayern
BI;Bielefeld;NrWe
BIR;Birkenfeld/Nahe und Idar-Oberstein;RhPf
BIT;Bitburg-Prüm;RhPf
BIW;Bischofswerda;Sachs;a
BL;Zollernalbkreis in Balingen;BaWü
BLK;Burgenlandkreis;SaAn
BM;Erftkreis in Bergheim;NrWe
BN;Bonn;NrWe
BNA;Borna;Sachs;a
BO;Bochum;NrWe
BÖ;Bördekreis-Oschersleben;SaAn
BOR;Borken in Ahaus;NrWe
BOT;Bottrop;NrWe
BP;Bundespolizei
BRA;Wesermarsch in Brake;NiSa
BRB;Brandenburg;Brandenburg
BRG;Burg;SaAn;a
BS;Braunschweig;NiSa
BSK;Beeskow;Brandenburg;a
BT;Bayernreuth;Bayern
BTF;Bitterfeld;SaAn
BÜS;Büsingen am Hochrhein;BaWü
BÜZ;Bützow;MeVo;a
BW;Bundes-Wasser- und Schiffahrtsverwaltung
BWL;Baden-Württemberg Landesregierung und Landtag
BYL;Bayern Landesregierung und Landtag
BZ;Bautzen;Sachs
C;Chemnitz;Sachs
CA;Calau;Brandenburg;a
CB;Cottbus;Brandenburg
CE;Celle;NiSa
CHA;Cham/Oberpfalz;Bayern
CLP;Cloppenburg;NiSa
CO;Coburg;Bayern
COC;Cochem-Zell/Mosel;RhPf
COE;Coesfeld/Westfalen;NrWe
CUX;Cuxhaven;NiSa
CW;Calw;BaWü
D;Düsseldorf;NrWe
DA;Darmstadt-Dieburg;Hess
DAH;Dachau;Bayern
DAN;Lüchow-Dannenberg;NiSa
DAU;Daun;Eifel;RhPf
DB;Deutsche Bahn
DBR;Bad Doberan;MeVo
DD;Dresden;Sachs
DE;Dessau;SaAn
DEG;Deggendorf;Bayern
DEL;Delmenhorst;NiSa
DGF;Dingolfing-Landau;Bayern
DH;Diepholz-Syke;NiSa
DL;Döbeln;Sachs
DLG;Dillingen/Donau;Bayern
DM;Demmin;MeVo
DN;Düren;NrWe
DO;Dortmund;NrWe
DON;Donau-Ries in Donauwörth;Bayern
DS;Dahme-Spreewald;Brandenburg;a
DU;Duisburg;NrWe
DÜW;Bad Dürkheim in Neustadt/Weinstraße;RhPf
DW;Dippoldiswalde-Weißeritzkreis;Sachs
DZ;Delitzsch;Sachs
E;Essen;NrWe
EB;Eilenburg;Sachs;a
EBE;Ebersberg;Bayern
ED;Erding;Bayern
EE;Elbe-Elster;Brandenburg
EF;Erfurt;Thür
EH;Eisenhüttenstadt;Brandenburg;a
EI;Eichstätt;Bayern
